box_width	Box width	Largeur de la boite
box_length	Box length	Longueur de la boite
box_height	Box height	Hauteur de la boite
paper_size	Paper dimensions:	Dimensions du paper :
resources	Resources	Ressources
moda_lid	Lid	Couvercle
moda_lid_margin	Lid margins	Marges du couvercle
moda_lid_h_diff	Lid height difference	Différence de hauteur du couvercle
corolles_with_flap	With a flap	Avec un rabat
katta_compartment	Compartment	Compartiment
katta_compartment_c	{{n %d}} compartments	{{n %d}} compartiments
source_code	Source code	Code source
